Trade number,Type,Date and time,Signal,Price,Size (qty),Size (value),Net PnL NONE,Net PnL %,Favorable excursion NONE,Favorable excursion %,Adverse excursion NONE,Adverse excursion %,Cumulative PnL NONE,Cumulative PnL %
1,Exit long,4/22/2009 13:15,Bear flip exit,4784.1,22,96928.7,8260.85,8.52,17484.02,18.03,-3245.48,-3.35,8260.85,8.26
1,Entry long,4/2/2009 10:15,Long,4405.85,22,96928.7,8260.85,8.52,17484.02,18.03,-3245.48,-3.35,8260.85,8.26
2,Exit long,6/2/2009 13:15,Bear flip exit,7135.6,21,106274.7,43496.06,40.92,52619.32,49.5,-3209.18,-3.02,51756.91,51.76
2,Entry long,4/24/2009 10:15,Long,5060.7,21,106274.7,43496.06,40.92,52619.32,49.5,-3209.18,-3.02,51756.91,51.76
3,Exit long,8/7/2009 9:15,Bear flip exit,7394.7,20,150779,-2974.6,-1.97,3582.77,2.38,-2930.23,-1.94,48782.31,48.78
3,Entry long,7/31/2009 10:15,Long,7538.95,20,150779,-2974.6,-1.97,3582.77,2.38,-2930.23,-1.94,48782.31,48.78
4,Exit long,10/6/2009 9:15,Bear flip exit,8709.65,19,143142.2,22248.56,15.54,26138.11,18.25,-359.29,-0.25,71030.87,71.03
4,Entry long,9/7/2009 10:15,Long,7533.8,19,143142.2,22248.56,15.54,26138.11,18.25,-359.29,-0.25,71030.87,71.03
5,Exit long,10/21/2009 15:15,Bear flip exit,9269.2,19,169250.1,6761.09,3.99,13675.78,8.08,-4796.02,-2.83,77791.96,77.79
5,Entry long,10/7/2009 10:15,Long,8907.9,19,169250.1,6761.09,3.99,13675.78,8.08,-4796.02,-2.83,77791.96,77.79
6,Exit long,11/12/2009 15:15,Bear flip exit,9055.7,20,175493,5514.02,3.14,11562.35,6.59,-1829.65,-1.04,83305.98,83.31
6,Entry long,11/6/2009 11:15,Long,8774.65,20,175493,5514.02,3.14,11562.35,6.59,-1829.65,-1.04,83305.98,83.31
7,Exit long,12/7/2009 14:15,Bear flip exit,9167.8,20,181130,2116.65,1.17,7533.66,4.16,-1404.34,-0.78,85422.63,85.42
7,Entry long,11/30/2009 10:15,Long,9056.5,20,181130,2116.65,1.17,7533.66,4.16,-1404.34,-0.78,85422.63,85.42
8,Exit long,1/21/2010 13:15,Bear flip exit,8972.35,20,181693,-2354.34,-1.3,2302.49,1.27,-2625.51,-1.44,83068.29,83.07
8,Entry long,1/18/2010 12:15,Long,9084.65,20,181693,-2354.34,-1.3,2302.49,1.27,-2625.51,-1.44,83068.29,83.07
9,Exit long,3/15/2010 11:15,Bear flip exit,9066.35,21,182559.3,7722.16,4.23,11198.08,6.13,-126.17,-0.07,90790.45,90.79
9,Entry long,2/26/2010 12:15,Long,8693.3,21,182559.3,7722.16,4.23,11198.08,6.13,-126.17,-0.07,90790.45,90.79
10,Exit long,4/8/2010 10:15,Bear flip exit,9616.2,20,183709,8502.19,4.63,12099.89,6.58,-893.11,-0.49,99292.65,99.29
10,Entry long,3/17/2010 10:15,Long,9185.45,20,183709,8502.19,4.63,12099.89,6.58,-893.11,-0.49,99292.65,99.29
11,Exit long,4/13/2010 12:15,Bear flip exit,9473.35,20,193561,-4208.91,-2.17,52.93,0.03,-4202.07,-2.17,95083.73,95.08
11,Entry long,4/9/2010 14:15,Long,9678.05,20,193561,-4208.91,-2.17,52.93,0.03,-4202.07,-2.17,95083.73,95.08
12,Exit long,4/28/2010 11:15,Bear flip exit,9694.4,20,190005,3767.83,1.98,8065,4.24,-2005,-1.05,98851.57,98.85
12,Entry long,4/20/2010 12:15,Long,9500.25,20,190005,3767.83,1.98,8065,4.24,-2005,-1.05,98851.57,98.85
13,Exit long,6/7/2010 10:15,Bear flip exit,9230.6,21,196429.8,-2704.28,-1.38,2821.22,1.44,-2959.03,-1.51,96147.29,96.15
13,Entry long,6/3/2010 10:15,Long,9353.8,21,196429.8,-2704.28,-1.38,2821.22,1.44,-2959.03,-1.51,96147.29,96.15
14,Exit long,6/25/2010 10:15,Bear flip exit,9557.15,20,188760,2269.03,1.2,7046.37,3.73,-1082.63,-0.57,98416.31,98.42
14,Entry long,6/11/2010 10:15,Long,9438,20,188760,2269.03,1.2,7046.37,3.73,-1082.63,-0.57,98416.31,98.42
15,Exit long,8/12/2010 9:15,Bear flip exit,10379.05,20,190740,16721.5,8.76,20779.78,10.89,-2187.22,-1.15,115137.82,115.14
15,Entry long,7/6/2010 14:15,Long,9537,20,190740,16721.5,8.76,20779.78,10.89,-2187.22,-1.15,115137.82,115.14
16,Exit long,8/27/2010 14:15,Bear flip exit,10851.3,20,211678,5219.39,2.46,10797.5,5.1,-496.5,-0.23,120357.21,120.36
16,Entry long,8/12/2010 15:15,Long,10583.9,20,211678,5219.39,2.46,10797.5,5.1,-496.5,-0.23,120357.21,120.36
17,Exit long,10/8/2010 14:15,Bear flip exit,12438.05,20,219511,29109.52,13.26,35193.15,16.03,-798.85,-0.36,149466.73,149.47
17,Entry long,9/2/2010 10:15,Long,10975.55,20,219511,29109.52,13.26,35193.15,16.03,-798.85,-0.36,149466.73,149.47
18,Exit long,10/15/2010 10:15,Bear flip exit,12466.85,19,239502.6,-2775.36,-1.16,3786.1,1.58,-2902.85,-1.21,146691.36,146.69
18,Entry long,10/13/2010 12:15,Long,12605.4,19,239502.6,-2775.36,-1.16,3786.1,1.58,-2902.85,-1.21,146691.36,146.69
19,Exit long,10/27/2010 13:15,Bear flip exit,12211.25,19,237652,-5779.15,-2.43,1306.2,0.55,-7065.2,-2.97,140912.22,140.91
19,Entry long,10/19/2010 14:15,Long,12508,19,237652,-5779.15,-2.43,1306.2,0.55,-7065.2,-2.97,140912.22,140.91
20,Exit long,11/11/2010 14:15,Bear flip exit,12956.15,19,240618.85,5401.96,2.24,12036.52,5,-535.79,-0.22,146314.19,146.31
20,Entry long,11/1/2010 10:15,Long,12664.15,19,240618.85,5401.96,2.24,12036.52,5,-535.79,-0.22,146314.19,146.31
21,Exit long,12/6/2010 15:15,Bear flip exit,12040.05,20,243257,-2601.22,-1.07,7387.02,3.04,-2679.98,-1.1,143712.97,143.71
